star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
HIP 71683,219.86852617107107,-60.831824491220175,742.1199951171875,1.3474910259246826,-3678.18994140625,481.8399963378906,,-0.20534655,0.78019476,-0.01,4.147024154663086,,,,transformed_from_johnson,Hipparcos,315.72010121486744,-0.6710639947108461,0.9646534797895873,-0.9407054070418037,-0.015781826247568465,5903.719159906561,255,243,238,#FFF3EE,1.0670481852996043,,,,* alf Cen A,Rigel Kentaurus,G2V,Main sequence,False
HIP 32349,101.28462157128676,-16.721551523397142,379.2099914550781,2.637061357498169,-546.010009765625,-1223.0799560546875,,-1.4876251,-0.05821129,-1.44,1.4067745208740234,,,,transformed_from_johnson,Hipparcos,227.23417729015904,-8.894830349461957,-1.7690401524403137,-1.912676914409035,-0.40774570917517955,10970.188155770302,198,213,255,#C6D5FF,1.8961893320083616,,,,* alf CMa,Sirius,A0mA1Va,Main sequence,False
HIP 37279,114.82229510425766,5.220395060925165,285.92999267578125,3.49735951423645,-716.5700073242188,-1034.5799560546875,,0.29463246,0.55514,0.4,2.5759315490722656,,,,transformed_from_johnson,Hipparcos,213.70498424824763,13.014485376456557,-2.834738664032245,-1.8908919793541388,0.7875962168999362,6724.299907684326,251,247,255,#FBF7FF,1.3632465655987078,,,,* alf CMi,Procyon,F5IV-V+DQZ,Subgiant,False
HIP 97649,297.69824383202,8.870035424065025,194.44000244140625,5.142974853515625,536.8200073242188,385.5400085449219,,0.69581753,0.2979471,0.76,2.13974666595459,,,,transformed_from_johnson,Hipparcos,47.74682481681936,-8.91042464327527,3.416442237974345,3.7607908025660053,-0.7965960819724464,8013.685941696167,227,232,255,#E3E8FF,1.4838925004005432,,,,* alf Aql,Altair,A7Vn,Main sequence,False
HIP 3821,12.285282814596457,57.81269941141954,167.99000549316406,5.95273494720459,1087.1099853515625,-559.6500244140625,,3.309333,0.7469358,3.46,4.4357500076293945,,,,transformed_from_johnson,Hipparcos,122.62486612761107,-5.057678821769988,-3.1968401283504684,4.993983157215473,-0.5247844994730427,6013.776130242781,255,244,241,#FFF4F1,1.0300320503039238,,,,* eta Cas,Achird,F9V,Main sequence,False
HIP 84405,258.83505468164793,-26.607913269690084,167.0800018310547,5.985156536102295,-473.69000244140625,-1143.9300537109375,,4.072388,1.0297459,4.33,5.187009811401367,,,,transformed_from_johnson,Hipparcos,358.27346894362864,6.876855963071209,5.939400438738044,-0.17903001526929718,0.7166375957197801,5194.075200774453,255,234,215,#FFEAD7,0.9065644919154155,,,,*  36 Oph,,K2V+K1V,Main sequence,False
HIP 15510,50.00035962965094,-43.066552247555556,165.02000427246094,6.059871196746826,3038.080078125,726.3400268554688,,4.0642595,0.889849,4.26,5.151943206787109,,,,transformed_from_johnson,Hipparcos,250.73404117395282,-56.064747486631546,-1.1162190027675605,-3.1935023061952914,-5.027687050657366,5557.214303076267,255,238,227,#FFEEE3,0.9129018300987152,,,,* e Eri,,G6V,Main sequence,False
HIP 99240,302.1950252833894,-66.18709056715038,163.72999572753906,6.107616424560547,1210.2900390625,-1130.3399658203125,,3.3380861,0.8571446,3.55,4.408727645874023,,,,transformed_from_johnson,Hipparcos,329.7607876046614,-32.42130809914484,4.454091072335039,-2.5964254365637416,-3.274542114750066,5657.7803728580475,255,240,230,#FFF0E6,1.0334964556571764,,,,* del Pav,,G8IV,Subgiant,False
HIP 2021,6.482514836505086,-77.25279612610255,133.77999877929688,7.474958896636963,2220.1201171875,324.3699951171875,,2.65879,0.76912737,2.82,3.2907466888427734,,,,transformed_from_johnson,Hipparcos,304.7595064708243,-39.78480301137247,3.2749337412545048,-4.719125424934417,-4.783270295576282,5940.342161005194,255,243,239,#FFF3EF,1.1982892256516675,,,,* bet Hyi,,G0V,Main sequence,False
HIP 113368,344.41437687515645,-29.622965973686362,130.0800018310547,7.687576770782471,329.2200012207031,-164.22000122070312,,1.1146739,0.16525255,1.17,1.6857261657714844,,,,transformed_from_johnson,Hipparcos,20.48650485783268,-64.91108192498886,3.053557000025432,1.1408584945103486,-6.9622602759286085,8898.316323757172,215,224,255,#D7E0FF,1.73927903175354,,,,* alf PsA,Fomalhaut,A4V,Main sequence,False
HIP 22449,72.46211909562626,6.961327315027044,124.5999984741211,8.02568244934082,463.44000244140625,11.619999885559082,,3.0708275,0.600791,3.19,3.5484180450439453,,,,transformed_from_johnson,Hipparcos,191.4532168070514,-23.063055406967486,-7.237183228883801,-1.4662686766233208,-3.1440123818416517,6497.382583618164,255,249,254,#FFF9FE,1.1437925583276993,,,,* pi.03 Ori,Tabit,F6V,Main sequence,False
HIP 89937,275.2720450474017,72.73128012466651,124.11000061035156,8.057368278503418,531.0800170898438,-351.5899963378906,,3.4294252,0.7023223,3.55,3.8984594345092773,,,,transformed_from_johnson,Hipparcos,103.45464156672536,28.054656423320143,-1.6544676570598702,6.915467111054964,3.7894900690057325,6161.406193213029,255,245,245,#FFF5F5,1.0989154571141952,,,,* chi Dra,,F7V,Main sequence,False
HIP 61317,188.43142774511207,41.3587814614536,119.45999908447266,8.371003150939941,-705.0599975585938,292.92999267578125,,4.089,0.75804114,4.24,4.4751129150390625,,,,transformed_from_johnson,Hipparcos,136.14370778439954,75.31192227002438,-1.5305090637505692,1.4705946739288878,8.097443242396688,5977.027489055286,255,244,241,#FFF4F1,1.0249855237129406,,,,* bet CVn,Chara,G0V,Main sequence,False
HIP 86974,266.61323236757846,27.71734300849165,119.05000305175781,8.399831771850586,-291.4200134277344,-750.0,,3.2085001,0.802273,3.42,3.587146759033203,,,,transformed_from_johnson,Hipparcos,52.434634609498254,25.626348381764988,4.617350062899242,6.003254608852501,3.632930813176343,5830.660335800864,255,242,236,#FFF2EC,1.1388273385854868,,,,* mu.01 Her,,G5IV,Subgiant,False
Gaia DR3 3507879565090229888,199.596298132351,-18.31592210064546,117.1726460991387,8.534415098502675,-1070.2015735200084,-1063.8486605375717,-7.8643388748168945,4.5325284,0.898438,4.7104635,4.87665958874857,,,,native_gaia,Gaia,311.85153868464374,44.08862736219785,4.089930748215753,-4.566065906351732,5.937992058533093,5530.8032212257385,255,238,227,#FFEEE3,0.9626518815514632,-23.49107136794776,-47.355401818321205,-31.537354919798204,*  61 Vir,,G6.5V,Main sequence,False
HIP 1599,5.0356183655579345,-64.8696089524585,116.37999725341797,8.592541694641113,1707.56005859375,1165.3599853515625,,4.082957,0.7358113,4.23,4.412347793579102,,,,transformed_from_johnson,Hipparcos,308.3115886940517,-51.93051946838953,3.28461863587321,-4.157319496005242,-6.764595168903687,6050.588084567677,255,244,242,#FFF4F2,1.0330323341565255,,,,* zet Tuc,,F9.5V,Main sequence,False
HIP 27913,88.59498717825568,20.275734915052713,115.43000030517578,8.663259506225586,-163.1699981689453,-98.91999816894531,,4.236995,0.7469358,4.39,4.548589706420898,,,,transformed_from_johnson,Hipparcos,188.45805820160393,-2.7333292746397375,-8.55928718818263,-1.2727892043244058,-0.41312920954092264,6013.776130242781,255,244,241,#FFF4F1,1.015565422253731,,,,* chi01 Ori,,G0V,Main sequence,False
HIP 27072,86.11438721239007,-22.450019656752325,111.48999786376953,8.969414710998535,-292.4200134277344,-368.45001220703125,,3.4716623,0.6461158,3.59,3.7078418731689453,,,,transformed_from_johnson,Hipparcos,226.79693137205203,-24.274893398157484,-5.597430017116463,-5.960017848363511,-3.6874604687438914,6347.398692044345,255,247,250,#FFF7FA,1.1233536060039813,,,,* gam Lep,,F6V,Main sequence,False
HIP 17378,55.811677307175806,-9.760095954075046,110.58000183105469,9.04322624206543,-91.70999908447266,742.22998046875,,3.2336674,1.0510144,3.52,3.45205020904541,,,,transformed_from_johnson,Hipparcos,198.08281668968397,-45.994554760251994,-5.972267679983899,-1.9500557027782905,-6.504555509784079,5157.338723269376,255,233,213,#FFE9D5,1.161065336374136,,,,* del Eri,Rana,K0+IV,Subgiant,False
HIP 64394,197.96427386934366,27.88210598643147,109.2300033569336,9.154994010925293,-801.9400024414062,882.7000122070312,,4.084259,0.75804114,4.23,4.275968551635742,,,,transformed_from_johnson,Hipparcos,43.55785650751973,85.4102501656471,0.5308911569185097,0.504816725257159,9.125635867898978,5977.027489055286,255,244,241,#FFF4F1,1.050516852354392,,,,* bet Com,,F9.5V,Main sequence,False
HIP 105858,321.6117209782902,-65.36263981325877,108.5,9.21658992767334,81.08000183105469,800.6799926757812,,4.0880103,0.69112045,4.21,4.265159606933594,,,,transformed_from_johnson,Hipparcos,328.1606354794219,-40.29399591039147,5.972051166954014,-3.708511408672891,-5.960459536471654,6198.474161408164,255,246,246,#FFF6F6,1.0519026144956931,,,,* gam Pav,,F9VFe-1.4CH-0.7,Main sequence,False
Gaia DR3 3269362645115584640,49.841600693178854,3.3706161908023495,107.8023393880993,9.276236542510446,269.2979397635821,93.95652212078687,18.733732223510742,4.6564903,0.8589401,4.821327,4.819631253201681,,,,native_gaia,Gaia,178.223970904488,-43.070990791652896,-6.77311092889295,0.21001714995290016,-6.3347790438374965,5652.259117126465,255,240,230,#FFF0E6,0.9729582072527082,-21.677137915354944,-4.3588362438445705,-4.399885438764186,* kap01 Cet,,G5V,Main sequence,False
Gaia DR3 5381537023379295232,176.62052057636615,-40.498565145629904,107.30243385622761,9.319453101500756,-1530.9705104799332,403.2865748639044,16.942670822143555,4.701676,0.85635567,4.8656754,4.85472375605554,5538.9296875,0.8899210095405579,12.461332321166992,native_gaia,Gaia,289.7915595256912,20.709941858310806,2.95165655589614,-8.202332535660407,3.2957048808341636,5660.206323623657,255,240,230,#FFF0E6,0.9666161886646615,-60.34285866014351,-38.86633419586578,5.222926084905295,HD 102365,,G2V,Main sequence,False
Gaia DR3 4025850731201819392,175.26250050618376,34.19993957543697,104.42517041496379,9.576235269966132,-12.521605057437956,-381.1958714817105,-5.697195529937744,5.1109953,0.9060354,5.2915134,5.205021256051452,5394.31689453125,0.8721115589141846,10.401634216308594,native_gaia,Gaia,183.55512429279517,73.32517067550891,-2.7425143054851104,-0.17038796207904322,9.173541582852906,5507.441073417664,255,238,225,#FFEEE1,0.9033094115569664,7.889354227065127,-15.965504961174638,-3.8852331432645,*  61 UMa,,G8V,Main sequence,False
Gaia DR3 5264749303462961280,92.56235755341913,-74.75398809344104,97.9157940060883,10.212856977269889,121.59582336868253,-212.41087853342987,36.063690185546875,4.9001403,0.88797426,5.0745516,4.8544040354400355,5495.93701171875,0.8752386569976807,,native_gaia,Gaia,285.75926681215356,-28.80107605759086,2.4306500378503677,-8.613102424254977,-4.920249451091001,5562.979143619537,255,238,227,#FFEEE3,0.9666739694987887,19.077077619307726,-30.595213693471504,-11.874174642369818,* alf Men,,G7V,Main sequence,False
HIP 14632,47.2754067619672,49.612870061751266,94.93000030517578,10.534077644348145,1262.2900390625,-91.52999877929688,,3.8966594,0.7358113,4.05,3.7836761474609375,,,,transformed_from_johnson,Hipparcos,144.6028655757261,-7.377686476704708,-8.515835635209692,6.051248392226772,-1.3526744422886916,6050.588084567677,255,244,242,#FFF4F2,1.1136312631460337,,,,* iot Per,,G0V,Main sequence,False
