star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class,spurious_parallax
HIP 71683,219.86852617107107,-60.831824491220175,742.1199951171875,1.3474910259246826,-3678.18994140625,481.8399963378906,,-0.20534655,0.78019476,-0.01,4.147024154663086,,,,transformed_from_johnson,Hipparcos,315.72010121486744,-0.6710639947108461,0.9646534797895873,-0.9407054070418037,-0.015781826247568465,5903.719159906561,255,243,238,#FFF3EE,1.0670481852996043,,,,* alf Cen A,Rigel Kentaurus,G2V,Main sequence,False
HIP 71681,219.8633404284646,-60.8329161903257,742.1199951171875,1.3474910259246826,-3600.35009765625,952.1099853515625,,1.0710074,0.98700905,1.35,5.423377990722656,,,,transformed_from_johnson,Hipparcos,315.7173480613564,-0.6710410930142039,0.9646082807979918,-0.940751763496988,-0.01578128767885666,5267.893461747603,255,234,217,#FFEAD9,0.8638473510742187,,,,* alf Cen B,Toliman,K1V,Main sequence,False
HIP 32349,101.28462157128676,-16.721551523397142,379.2099914550781,2.637061357498169,-546.010009765625,-1223.0799560546875,,-1.4876251,-0.05821129,-1.44,1.4067745208740234,,,,transformed_from_johnson,Hipparcos,227.23417729015904,-8.894830349461957,-1.7690401524403137,-1.912676914409035,-0.40774570917517955,10970.188155770302,198,213,255,#C6D5FF,1.8961893320083616,,,,* alf CMa,Sirius,A0mA1Va,Main sequence,False
HIP 16537,53.22828469019913,-9.45818223330356,310.75,3.2180209159851074,-976.4400024414062,17.969999313354492,,3.450152,1.0510144,3.72,5.912206649780273,,,,transformed_from_johnson,Hipparcos,195.8412518617266,-48.05500373935676,-2.0692889776373335,-0.5871592317557579,-2.3935216270822073,5157.338723269376,255,233,213,#FFE9D5,0.788169002532959,,,,* eps Eri,Ran,K2V,Main sequence,False
Gaia DR3 1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,3.4964380683468383,4105.976428209489,3155.9416398273515,-64.59354400634766,5.4506445,1.7153406,6.015665,7.732515292703404,3889.6328125,,,native_gaia,Gaia,82.33988652496814,-5.830395011991391,0.4636512251277641,3.447310863193481,-0.3551823753098021,4042.605303250826,255,213,168,#FFD5A8,0.5867134118455197,-92.44612547185373,-53.993459672494495,-8.86213221518462,*  61 Cyg B,,K7V,Main sequence,False
Gaia DR3 1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,3.4965652573897277,4164.2086922846665,3249.613883848584,-65.9749526977539,4.766713,1.4625897,5.189515,7.048504952329701,4353.74365234375,0.6795274019241333,,native_gaia,Gaia,82.34298021542166,-5.822176498276964,0.4634887298147889,3.4475117554193173,-0.35469633880995294,4392.568051264836,255,220,184,#FFDCB8,0.6451495047670299,-94.40752081936908,-55.08716730484912,-8.41494816345672,*  61 Cyg A,,K5V,Main sequence,False
HIP 37279,114.82229510425766,5.220395060925165,285.92999267578125,3.49735951423645,-716.5700073242188,-1034.5799560546875,,0.29463246,0.55514,0.4,2.5759315490722656,,,,transformed_from_johnson,Hipparcos,213.70498424824763,13.014485376456557,-2.834738664032245,-1.8908919793541388,0.7875962168999362,6724.299907684326,251,247,255,#FBF7FF,1.3632465655987078,,,,* alf CMi,Procyon,F5IV-V+DQZ,Subgiant,False
Gaia DR3 6412595290592307840,330.8724078795965,-56.79725466122902,274.8431415216296,3.638438981826665,3966.6605387484133,-2536.1919868044724,-40.426700592041016,4.322904,1.2974195,4.6632447,6.5183286298804575,4560.30322265625,0.7392322421073914,10.48759937286377,native_gaia,Gaia,336.16562643763456,-48.0554434364373,2.224568275771192,-0.9827461404111232,-2.7062417176622056,4709.057685852051,255,226,196,#FFE2C4,0.6981671370119542,-80.96215753999333,-40.8279462678318,2.6264256841856586,* eps Ind,,K5V,Main sequence,False
HIP 8102,26.00905418567719,-15.933684011335432,274.1700134277344,3.647372007369995,-1721.8199462890625,854.0700073242188,,3.2878845,0.9223928,3.49,5.477984428405762,,,,transformed_from_johnson,Hipparcos,173.07231820121837,-73.4424923888752,-1.0318305884148093,0.12537106833013972,-3.4961307601666642,5457.142184436321,255,237,224,#FFEDE0,0.8539787177579948,,,,* tau Cet,,G8V,Main sequence,False
Gaia DR3 6583272171336048640,319.2950181380955,-38.872456400701786,251.9124222107058,3.9696335386096013,-3258.966218702396,-1145.8623969124255,20.70993995666504,5.984104,1.8535872,6.6346893,7.990352075456418,,,,native_gaia,Gaia,3.8964773774223675,-44.242254802512726,2.8372570028733195,0.19324952918574415,-2.769588010872733,3859.3953946741617,255,209,158,#FFD19E,0.5719798814024905,58.58053417049634,-19.60820485873733,28.960221484468587,V* AX Mic,Lacaille 8760,M1V,Main sequence,False
