star_id,ra,dec,parallax_mas,dist_pc,pmra,pmdec,radial_velocity,g_mag,bp_rp,v_mag,abs_g,teff_gspphot,mass_flame,age_flame,phot_origin,source_catalogue,l,b,x_pc,y_pc,z_pc,teff_color,rgb_r,rgb_g,rgb_b,rgb_hex,mass_est,U,V,W,simbad_main_id,proper_name,sp_type,star_class
Gaia DR3 5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,1.3019705311704333,-3781.741008265163,769.4650146478623,-21.942726135253906,8.984749,3.8045802,11.293077,13.411743067769109,2829.354248046875,,,native_gaia,Gaia,313.9255017524674,-1.9177571512426903,0.9027003192982261,-0.9372091667628694,-0.04357034898584699,2818.1679153442383,255,178,96,#FFB260,0.14353027728923565,-29.26579172069321,1.6544817216543757,13.76963575108174,NAME Proxima Centauri,Proxima Centauri,M5.5Ve,Main sequence
HIP 71683,219.86852617107107,-60.831824491220175,742.1199951171875,1.3474910259246826,-3678.18994140625,481.8399963378906,,-0.20534655,0.78019476,-0.01,4.147024154663086,,,,transformed_from_johnson,Hipparcos,315.72010121486744,-0.6710639947108461,0.9646534797895873,-0.9407054070418037,-0.015781826247568465,5903.719159906561,255,243,238,#FFF3EE,1.0670481852996043,,,,* alf Cen A,Rigil Kentaurus,G2V,Main sequence
HIP 71681,219.8633404284646,-60.8329161903257,742.1199951171875,1.3474910259246826,-3600.35009765625,952.1099853515625,,1.0710074,0.98700905,1.35,5.423377990722656,,,,transformed_from_johnson,Hipparcos,315.7173480613564,-0.6710410930142039,0.9646082807979918,-0.940751763496988,-0.01578128767885666,5267.893461747603,255,234,217,#FFEAD9,0.8638473510742187,,,,* alf Cen B,Toliman,K1V,Main sequence
Gaia DR3 4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,1.828233981355542,-801.5509783684709,10362.394206546573,-110.46822357177734,8.1939745,2.8336968,9.587421,11.883815610404724,3099.633544921875,,,native_gaia,Gaia,31.049423583078283,14.086601716079237,1.5191896056708527,0.9146057113859257,0.4449705892584587,3263.104842049735,255,193,125,#FFC17D,0.2231329072716693,-141.26019159935333,4.864314797882988,18.406440067044638,NAME Barnard's star,Barnard Star,M4V,Main sequence
Gaia DR3 3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,2.408597252748958,-3866.3382751436793,-2699.214987679166,,11.038391,4.1848364,13.736518,14.129570179980167,,,,native_gaia,Gaia,244.05116130783287,56.09885315615382,-0.5878396190648075,-1.2079862940857153,1.999138419797046,2678.7909030914307,255,174,89,#FFAE59,0.12111289460059499,,,,Wolf  359,,dM6,Main sequence
Gaia DR3 762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,2.5461298549469777,-580.0570872139048,-4776.588719443488,-85.11064147949219,6.551172,2.2156086,7.4499297,9.521769033144956,3511.044921875,,,native_gaia,Gaia,185.16951881709196,65.433990618616,-1.0542257735236258,-0.09537659853397089,2.3156615817392057,3576.8420707888718,255,203,145,#FFCB91,0.448040787016954,46.363205671133265,-53.74806341926603,-74.68784200313003,HD  95735,,M2+V,Main sequence
HIP 32349,101.28462157128676,-16.721551523397142,379.2099914550781,2.637061357498169,-546.010009765625,-1223.0799560546875,,-1.4876251,-0.05821129,-1.44,1.4067745208740234,,,,transformed_from_johnson,Hipparcos,227.23417729015904,-8.894830349461957,-1.7690401524403137,-1.912676914409035,-0.40774570917517955,10970.188155770302,198,213,255,#C6D5FF,1.8961893320083616,,,,* alf CMa,Sirius,A0mA1Va,Main sequence
Gaia DR3 4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,2.9759548649868903,639.367850335873,-193.95792507116096,-11.116439819335938,9.126414,2.8340364,10.520155,11.758282598169881,3117.3759765625,,,native_gaia,Gaia,11.307631648760257,-10.287478384353651,2.8712747524586524,0.5741350376740626,-0.531467414662132,3262.891436985561,255,193,125,#FFC17D,0.2319202181281083,-12.627429991628171,-1.1261749382015607,-7.190232452380308,CD-23 14742,,M3.5Ve,Main sequence
Gaia DR3 1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,3.159745481768476,112.52746493350043,-1591.6497618145506,-77.28982543945312,10.379277,3.5294142,12.414795,12.881016721779119,,,,native_gaia,Gaia,109.98934499518532,-16.94734856028852,-1.0332370135624414,2.8404387874684067,-0.921043038085555,2956.66529973348,255,183,106,#FFB76A,0.16475933112883523,32.30730801116501,-74.16973717053098,0.17422851174048468,Ross  248,,M5.0V,Main sequence
HIP 16537,53.22828469019913,-9.45818223330356,310.75,3.2180209159851074,-976.4400024414062,17.969999313354492,,3.450152,1.0510144,3.72,5.912206649780273,,,,transformed_from_johnson,Hipparcos,195.8412518617266,-48.05500373935676,-2.0692889776373335,-0.5871592317557579,-2.3935216270822073,5157.338723269376,255,233,213,#FFE9D5,0.788169002532959,,,,* eps Eri,Ran,K2V,Main sequence
Gaia DR3 6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,3.2880095551861235,6765.995136250774,1330.2852747179845,8.306987762451172,6.5220323,2.0982852,7.336698,8.937366906094589,3376.08447265625,,,native_gaia,Gaia,5.097235077567257,-65.98769599695464,1.332707666329036,0.11887616607584478,-3.003458934002956,3668.411552615282,255,204,148,#FFCC94,0.4976074156381502,-93.85698453938544,-13.505281152539988,-51.275158875522344,HD 217987,Lacaille 9352,M2V,Main sequence
